n,naive,binary
100,0.0,0.0
100,0.005002737045288086,0.0
100,0.0,0.0
100,0.0009958744049072266,0.0010008811950683594
100,0.0,0.0009999275207519531
100,0.0009975433349609375,0.001007080078125
100,0.0009989738464355469,0.0009946823120117188
100,0.0010044574737548828,0.0
100,0.0,0.0
100,0.0,0.00587153434753418
200,0.015208721160888672,0.0030012130737304688
200,0.00861358642578125,0.007281064987182617
200,0.002591848373413086,0.0020067691802978516
200,0.0009911060333251953,0.004784584045410156
200,0.002997159957885742,0.007462263107299805
200,0.000993490219116211,0.002703428268432617
200,0.004904985427856445,0.0009937286376953125
200,0.0009937286376953125,0.001005411148071289
200,0.008033990859985352,0.0
200,0.0,0.0
300,0.0009958744049072266,0.0010004043579101562
300,0.002999544143676758,0.001007080078125
300,0.002903461456298828,0.0
300,0.001001596450805664,0.0
300,0.0010061264038085938,0.001003265380859375
300,0.0009927749633789062,0.004387378692626953
300,0.0010030269622802734,0.0011699199676513672
300,0.002904176712036133,0.0009992122650146484
300,0.0009996891021728516,0.0009975433349609375
300,0.0030012130737304688,0.002007007598876953
400,0.0007727146148681641,0.0005228519439697266
400,0.0009148120880126953,0.0
400,0.0009870529174804688,0.0
400,0.0,0.0
400,0.0010018348693847656,0.0023593902587890625
400,0.0,0.0
400,0.0,0.0
400,0.0029969215393066406,0.00099945068359375
400,0.0019969940185546875,0.0020034313201904297
400,0.0009984970092773438,0.0010094642639160156
500,0.0032198429107666016,0.0020148754119873047
500,0.0,0.0
500,0.0,0.0
500,0.007241249084472656,0.0
500,0.0010035037994384766,0.009009838104248047
500,0.0018801689147949219,0.0029506683349609375
500,0.010740995407104492,0.001901865005493164
500,0.0005331039428710938,0.008476018905639648
500,0.0009984970092773438,0.0
500,0.0030889511108398438,0.0
600,0.0052568912506103516,0.0009944438934326172
600,0.004309654235839844,0.013831138610839844
600,0.017775535583496094,0.033522605895996094
600,0.0020792484283447266,0.0
600,0.008576154708862305,0.011807441711425781
600,0.002119779586791992,0.003997087478637695
600,0.0010826587677001953,0.0
600,0.0010039806365966797,0.00099945068359375
600,0.0010845661163330078,0.0
600,0.003604888916015625,0.002223968505859375
